               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.095059,             0.07277,                   0,             0.65435,             0.41237,             0.43648,             0.13942,            0.066097,            0.022186,                   0,              0.0705,           0.0032778,           0.0032778
                   1,            0.068308,            0.058937,                   0,             0.48219,             0.43299,             0.40324,             0.14397,            0.053479,            0.015267,                   0,            0.040369,           0.0064802,           0.0064802
                   2,             0.06445,            0.050831,                   0,             0.62581,             0.60825,             0.67731,             0.23792,            0.043363,            0.012589,                   0,            0.010106,           0.0095506,           0.0095506
                   3,            0.053601,            0.046366,                   0,             0.53898,             0.71134,             0.68096,             0.28973,            0.040203,            0.012157,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.043408,            0.043604,                   0,             0.73606,             0.83374,             0.87411,             0.44401,            0.032124,            0.010272,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.038112,            0.040935,                   0,             0.67436,             0.93814,             0.79515,              0.5086,            0.027614,           0.0093358,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.033257,            0.038209,                   0,             0.98319,             0.91753,             0.98734,             0.59434,            0.027978,           0.0086905,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.031898,            0.037174,                   0,             0.94928,             0.96483,             0.98809,             0.59909,            0.028259,           0.0086307,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.028045,            0.036571,                   0,             0.99861,             0.95876,             0.99285,             0.65156,             0.02456,           0.0085757,                   0,            0.008614,            0.008614,            0.008614
                   9,               0.028,            0.036749,                   0,              0.9692,             0.96907,             0.99138,             0.68838,            0.021623,           0.0079089,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.025506,             0.03602,                   0,             0.87123,                   1,             0.97008,             0.57505,            0.023303,            0.008594,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.025374,            0.033781,                   0,             0.98977,             0.99723,              0.9949,             0.71589,            0.020696,           0.0077201,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.023695,            0.031814,                   0,             0.98828,             0.98969,             0.99402,             0.71984,            0.019957,           0.0080183,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.023282,            0.033826,                   0,             0.98978,             0.99807,              0.9948,             0.73368,            0.019638,           0.0076173,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.023171,            0.032992,                   0,             0.99848,             0.98969,              0.9947,             0.71624,             0.01882,           0.0074126,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.023041,            0.031184,                   0,             0.99567,             0.98969,              0.9946,             0.73917,            0.019481,           0.0073996,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.021566,            0.030393,                   0,             0.98977,             0.99782,              0.9949,             0.75177,            0.017817,           0.0072564,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.020357,            0.028936,                   0,             0.99855,             0.98969,              0.9948,             0.70652,             0.02024,           0.0076485,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.019899,            0.029437,                   0,             0.99545,             0.98969,              0.9947,             0.72986,            0.018018,           0.0074778,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.019088,            0.029839,                   0,             0.98757,             0.98969,             0.99439,             0.77311,            0.018085,           0.0069836,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.018833,            0.029269,                   0,             0.98923,                   1,              0.9949,             0.76023,            0.018784,           0.0072538,                   0,            0.006238,            0.006238,            0.006238
                  21,             0.01883,             0.02681,                   0,                   1,             0.98377,              0.9947,             0.72584,            0.018206,            0.007313,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.017629,            0.027721,                   0,             0.99728,             0.98969,              0.9949,             0.72909,            0.017546,           0.0073491,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.017857,            0.027089,                   0,             0.98974,                   1,              0.9949,             0.71643,            0.018138,           0.0075567,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.017768,            0.026795,                   0,                   1,             0.99908,               0.995,             0.76165,            0.016652,           0.0071382,                   0,            0.005446,            0.005446,            0.005446
